Anime Name,Song Type,Song Name,Song Artist,Mp3 Link,Webm Link
07-Ghost,IN,Rags no Chinkonka,Noria,w0lamx.mp3,4cqgzg.webm
1+2=Paradise,ED1,Koi wa Enryo no Body,Yuki Takahashi,Not Found,Not Found
100 Sleeping Princes and the Kingdom of Dreams: The Animation,OP1,Afureru Hikari,moumoon,b4o0cm.mp3,mwejk0.webm
100 Sleeping Princes and the Kingdom of Dreams: The Animation,ED1,Secret Dreams,Kenichi Suzumura & Yuu Miyazaki,sbtbix.mp3,c0nl9p.webm
100 Sleeping Princes and the Kingdom of Dreams: The Animation,ED2,Secret Dreams Unplugged MIX,Kenichi Suzumura & Yuu Miyazaki,4vrysb.mp3,zbbxl2.webm
100-man no Inochi no Ue ni Ore wa Tatteiru,OP1,Anti world,Kanako Takatsuki,wfcak5.mp3,tnd9ve.webm
100-man no Inochi no Ue ni Ore wa Tatteiru,OP2,Dear My MAJIHA Sisters,Kanako Takatsuki & Ai Furihata,p3900a.mp3,f3j84i.webm
100-man no Inochi no Ue ni Ore wa Tatteiru,ED1,Carpe Diem,Liyuu,1o1zh9.mp3,b0ma24.webm
100% Pascal-sensei,OP1,100% Pascal-sensei,Hana Satō,6zbv9v.mp3,a26y8y.webm
100% Pascal-sensei,ED1,Pascal Yogayo-ga,Hana Satō,bmjh3o.mp3,fa4uiq.webm
100% Pascal-sensei,ED2,Pascal Rap Rap Ran Ran Ran,Hana Satō ft. Raja-sensei,hon6g2.mp3,kfwdlx.webm
11eyes,OP1,Arrival of Tears,Ayane,cn69f1.mp3,11eyes-OP01-NCBD.webm
11eyes,ED1,Sequentia,Asriel,d2fzqf.mp3,d9zm0e.webm
12-Sai: Chiccha na Mune no Tokimeki,OP1,Sweet Sensation,Rie Murakawa,stvet2.mp3,65s44l.webm
12-Sai: Chiccha na Mune no Tokimeki,ED1,Cotona MODE,AŌP,c48s0j.mp3,haj4vl.webm
12-Sai: Chiccha na Mune no Tokimeki,OP1,Ano ne Kimi Dake ni,AŌP,0lh6dy.mp3,ozmt9x.webm
12-Sai: Chiccha na Mune no Tokimeki,ED1,Yūki no Tsubasa,Machico,4y866c.mp3,1lt3e6.webm
12-Sai.,ED1,Koi no 12-sai,Utata Neko Uta Gekidan,Not Found,Not Found
18if,OP1,Red Doors,TeddyLoid feat. Yoshikazu Mera,du46aj.mp3,teqdfc.webm
18if,ED1,Wonderland,Kaori Nazuka,20bceq.mp3,43edpg.webm
18if,ED2,Break The Doors,TeddyLoid feat. Aina The End (BiSH),ldknog.mp3,byzjg1.webm
18if,ED3,Yume Koibana,Nao Tamura,getlv0.mp3,gpxa3m.webm
18if,ED4,ANGELNOIR,Ichiko Aoba,yotygx.mp3,or3691.webm
18if,ED5,Plumeria,Aki Okui,frwqt9.mp3,mzq9qf.webm
18if,ED6,Yukue Shirezu,Gesshoku Kaigi,82b1xl.mp3,xrya7h.webm
18if,ED7,too late,Inori Minase,zk0kqo.mp3,axza4q.webm
18if,ED8,Sora no Oto,Ryu Miho,345map.mp3,zh8m5m.webm
18if,ED9,Tsubasa,Emi Nitta,tr0ziz.mp3,rbosh1.webm
18if,ED10,Factor Word (A-kichi Studio remix),Shiho Nanba,xzbln8.mp3,2w9ozu.webm
18if,ED11,Salvation,TeddyLoid,76bryf.mp3,6wr80q.webm
18if,ED12,Hakuchou wa Nemuru,TeddyLoid feat. Yoshikazu Mera,fnwz5c.mp3,3dhf31.webm
18if,ED13,if,Nobunaga Shimazaki,3rs352.mp3,6nwecn.webm
18if,IN,Chiisai Aki Mitsuketa,Yoshikazu Mera,azybcu.mp3,hxkvpn.webm
18if,IN,Daydream,Mana,0hscdp.mp3,wzgx6o.webm
18if,IN,First Bite!,Shark Lady,5jcumj.mp3,ionlj6.webm
18if,IN,Hikari no Parade,Wakana,ryal9u.mp3,79d28q.webm
2.43: Seiin Kōkō Danshi Volley-bu,OP1,Mahi,yama,e2kgt9.mp3,24bjow.webm
2.43: Seiin Kōkō Danshi Volley-bu,ED1,Undulation,Soushi Sakiyama,yr0215.mp3,jvm91x.webm
